hip_number,in_out_status,foaling_year,horse_name,color,sex,foaling_date,sire_name,dam_name,sort_dam,dam_sire,property_line_1,property_line_2,consignor_sort,foaling_area,barn_number,buyer_name,hammer_price,post_sale_indicator,outdate,ut_time,ut_distance,ut_actual_date,ut_group,ut_set,pp_pdf_link
573,I,2022,,B,F,02/13/2022,Malibu Moon,Saravati,892,Giant's Causeway,"Kings Equine, Agent IX",,Kings Equine,KY,1,Turf Express Racing Partners - Mark Cornett,140000,,,10.1," 1/8",04/10/2024,2,79,
574,I,2022,,GR/RO,F,03/29/2022,Frosted,Sarood,893,Tiznow,"Thorostock LLC, Agent I",,Thorostock LLC,KY,H,"Michael McCarthy, Agent",130000,,,10.0," 1/8",04/10/2024,3,123,
575,O,2022,,CH,C,02/14/2022,More Than Ready,Sassifleet,894,Afleet Alex,"GOP Racing Stable Corp., Agent",,GOP Racing Stable Corp.,FL,16,OUT,,,04/04/2024,,,,,,
576,O,2022,,B,C,04/20/2022,Ghostzapper,Satirical,895,Distorted Humor,"Harris Training Center LLC, Agent II",,Harris Training Center LLC,KY,13,OUT,,,04/10/2024,,,,,,
577,I,2022,,DB/BR,C,03/12/2022,Vekoma,Saucy At Midnight,896,Midnight Lute,"Top Line Sales LLC, Agent XI",,Top Line Sales LLC,KY,1,Carolyn Wilson,375000,,,9.4," 1/8",04/10/2024,1,49,
578,I,2022,,DB/BR,C,03/02/2022,Medaglia d'Oro,Saucy Dame,897,Distorted Humor,"Tom McCrocklin, Agent XXVI",,Tom McCrocklin,KY,18,83rd Place,130000,,,20.4," 1/4",04/10/2024,3,108,
579,I,2022,,CH,C,03/02/2022,Flameaway,Savasana,898,Scatmandu,"Tom McCrocklin, Agent XV",,Tom McCrocklin,NY,18,Clear Stars Stable,30000,,,21.1," 1/4",04/10/2024,3,121,
580,O,2022,,DB/BR,F,03/22/2022,Laoban,Scampering,899,Afleet Alex,"Wavertree Stables, Inc. (Ciaran Dunne), Agent II",,Wavertree Stables,KY,5,OUT,,,04/17/2024,,,,,,
581,I,2022,Laettner,B,C,03/21/2022,Mucho Macho Man,Scarlet Emerald,900,Desert Party,"Marcial Galan, Agent",,Marcial Galan,KY,20,"Taproot Bloodstock, Agent",60000,,,10.1," 1/8",04/10/2024,1,27,
582,O,2022,,B,C,03/06/2022,Quality Road,Scarlet Flutter,901,Smart Strike,"Six K's Training & Sales LLC, Agent IV",,Six K's Training & Sales LLC,KY,20,OUT,,,04/10/2024,,,,,,
583,O,2022,,B,F,02/20/2022,City of Light,Scat Means Go,902,Scat Daddy,"Eddie Woods, Agent XVIII",,Eddie Woods,KY,11,OUT,,,04/01/2024,,,,,,
584,O,2022,,DB/BR,F,05/09/2022,Maclean's Music,Scauri,903,Ghostzapper,"Centofanti Thoroughbreds, Agent I",,Centofanti Thoroughbreds,MD,16,OUT,,,04/10/2024,,,,,,
585,I,2022,Ozzy,B,C,02/19/2022,Bernardini,Scenic Overlook,904,Nyquist,Arindel,,Arindel,NY,3,Smart Choice Stable,35000,Y,,21.1," 1/4",04/10/2024,2,88,
586,I,2022,,B,F,02/16/2022,Maclean's Music,Schema,905,Gemologist,"Paul Sharp, Agent VIII",,Paul Sharp,KY,C,Barry Berkelhammer for My Purple Haze Stables,150000,,,10.1," 1/8",04/10/2024,2,91,
587,I,2022,,GR/RO,C,03/25/2022,The Factor,Scoop of Gold,906,Giant's Causeway,"Best A Luck Farm LLC, Agent VII",,Best A Luck Farm LLC,KY,3,RNA,-95000,,,10.1," 1/8",04/10/2024,2,104,
588,I,2022,,B,F,03/09/2022,Caravaggio,Scorpio Queen (AUS),907,Choisir (AUS),"Cortez Racing & Sales, Agent IV",,Cortez Racing & Sales,KY,16,S.R.O.A (KOID),30000,,,10.2," 1/8",04/10/2024,2,86,
589,O,2022,,DB/BR,C,05/31/2022,Omaha Beach,Screwgie,908,Smart Strike,"Fast Horses, Agent V",,Fast Horses,KY,D,OUT,,,04/01/2024,,,,,,
590,I,2022,,B,F,04/20/2022,City of Light,Seacrettina,909,Sea of Secrets,"Longoria Training & Sales, Agent I",,Longoria Training & Sales,KY,13,"Martin Racing Stable, LLC",80000,Y,,10.0," 1/8",04/10/2024,1,12,
591,I,2022,,B,C,04/24/2022,Hard Spun,Sea Garden,910,Curlin,"Harris Training Center LLC, Agent III",,Harris Training Center LLC,KY,13,Eclipse Thoroughbred Partners,260000,,,9.4," 1/8",04/10/2024,1,16,
592,I,2022,,DB/BR,F,03/12/2022,Honest Mischief,Sea Gazer,911,Tiznow,"Universal Performance Horses, Agent I",,Universal Performance Horses,NY,17,Gatsas Stables,30000,,,10.1," 1/8",04/10/2024,1,55,
593,O,2022,,CH,F,02/11/2022,Improbable,Seanchai,912,English Channel,"Randy Miles, Agent VI",,Randy Miles,PA,19,OUT,,,04/09/2024,,,,,,
594,I,2022,,DB/BR,C,01/21/2022,Daredevil,Seasoned Warrior,913,Majestic Warrior,"Britton Peak, Agent",,Britton Peak,KY,19,"West Point Thoroughbreds & CJ Stables LLC,LEB agt",250000,,,9.4," 1/8",04/10/2024,1,29,
595,I,2022,,B,C,03/03/2022,Tiz the Law,Secret Charm (IRE),915,Green Desert,Orlyana Farm,,Orlyana Farm,KY,20,John Wade,25000,,,10.1," 1/8",04/10/2024,3,116,
596,I,2022,,B,F,03/04/2022,Maclean's Music,Secret Garden (PER),916,Flanders Fields,"Top Line Sales LLC, Agent XXXI",,Top Line Sales LLC,KY,1,Starship Stables,25000,,,10.1," 1/8",04/10/2024,3,136,
597,O,2022,,GR/RO,F,02/07/2022,Girvin,Secret Song,917,Dunkirk,"Ocala Stud, Agent",,Ocala Stud,FL,4,OUT,,,04/15/2024,,,,,,
598,I,2022,,DB/BR,F,05/02/2022,Speightstown,Secret Thoughts,918,War Front,"Eddie Woods, Agent III",,Eddie Woods,KY,11,Narvick Int'l,250000,,,10.1," 1/8",04/10/2024,1,6,
599,I,2022,,B,F,03/24/2022,Munnings,Securely,919,Uncle Mo,"Grassroots Training & Sales LLC, Agent",,Grassroots Training & Sales LLC,VA,J,RNA,-170000,,,9.4," 1/8",04/10/2024,1,23,
600,I,2022,,B,C,04/22/2022,Blame,Senior Prom,920,Mr. Greeley,RiceHorse Stable (Brandon & Ali Rice),,RiceHorse Stable (Brandon & Ali Rice),KY,6,Danny Chen,14000,,,10.2," 1/8",04/10/2024,3,133,
601,O,2022,,B,C,02/22/2022,Uncle Mo,Sensitive,921,Divine Park,"Hartley / DeRenzo Thoroughbreds LLC, Agent I",,Hartley / DeRenzo Thoroughbreds LLC,KY,5,OUT,,,04/17/2024,,,,,,
602,I,2022,,CH,F,04/10/2022,Gun Runner,Senza Te,922,Street Cry (IRE),"Scanlon Training & Sales, Agent XVIII",,Scanlon Training & Sales,KY,10,RNA,-240000,,,10.0," 1/8",04/10/2024,3,134,
603,I,2022,,B,C,02/11/2022,Into Mischief,Separationofpowers,923,Candy Ride (ARG),"Scanlon Training & Sales, Agent I",,Scanlon Training & Sales,KY,10,Naohiro Sakaguchi,925000,,,9.4," 1/8",04/10/2024,1,8,
604,I,2022,,DB/BR,F,01/27/2022,Mendelssohn,Sequoia Queen,924,Forestry,"Harris Training Center LLC, Agent IV",,Harris Training Center LLC,KY,13,Harmash Racing,100000,,,10.0," 1/8",04/10/2024,2,60,
605,O,2022,,CH,F,04/09/2022,Complexity,Serene Sophia,925,Giant's Causeway,"Cesar Loya Training & Sales, Agent I",,Cesar Loya Training & Sales,KY,1,OUT,,,04/10/2024,,,,,,
606,I,2022,,CH,F,03/24/2022,Vino Rosso,Shahala (AUS),926,Bernardini,"Cortez Racing & Sales, Agent II",,Cortez Racing & Sales,FL,16,C.H.P.R.,15000,,,10.1," 1/8",04/10/2024,3,130,
607,I,2022,,DB/BR,C,04/23/2022,Twirling Candy,Shanghai Tariff,927,Shanghai Bobby,"Gene Recio, Agent IV",,Gene Recio,KY,17,Mick Cooke Agent for Anne Shaddock,50000,Y,,10.1," 1/8",04/10/2024,1,31,
608,I,2022,,DB/BR,C,03/10/2022,Daredevil,Sharbat,928,Dynaformer,"White Lilac (Katie Miranda), Agent II",,White Lilac (Katie Miranda),KY,17,RNA,-10000,,,10.1," 1/8",04/10/2024,1,53,
609,O,2022,,B,C,05/19/2022,Instagrand,Shared Dreams (GB),929,Seeking the Gold,"L. G., Agent I",,L. G.,NY,1,OUT,,,04/17/2024,,,,,,
610,I,2022,,DB/BR,F,03/23/2022,Game Winner,She Be Wild,930,Offlee Wild,"Mayberry Farm, Agent",,Mayberry Farm,KY,B,Happy Tenth Stable,30000,Y,,10.1," 1/8",04/10/2024,1,45,
611,I,2022,,B,F,04/25/2022,Maclean's Music,She'll Be Right,931,Sky Mesa,"Niall Brennan Stables, Agent IV",,Niall Brennan Stables,NY,8,"Mike Ryan, Agent",300000,,,10.1," 1/8",04/10/2024,1,4,
612,O,2022,,B,F,02/28/2022,Adios Charlie,She Nailed It,932,Corfu,"Omega Farm, Agent",,Omega Farm,FL,E,OUT,,,04/18/2024,,,,,,
613,I,2022,,CH,F,04/28/2022,Munnings,Sheriffa,933,Posse,"Niall Brennan Stables, Agent V",,Niall Brennan Stables,NY,8,"John C. Kimmel, Agent for Nedlaw Stables",350000,,,10.0," 1/8",04/10/2024,1,36,
614,O,2022,,DB/BR,F,02/03/2022,McKinzie,She's All Skeet,934,Trappe Shot,"Silvestre Chavez Thoroughbreds, Agent IV",,Silvestre Chavez Thoroughbreds,KY,17,OUT,,,04/10/2024,,,,,,
615,I,2022,Night,DB/BR,C,02/14/2022,Win Win Win,She's Into Me,935,Into Mischief,Arindel,,Arindel,FL,3,"Lisa Lewis, Agent for Philip Harding",80000,,,21.0," 1/4",04/10/2024,1,13,
616,I,2022,,CH,C,03/05/2022,Bucchero,She's Kissable,936,Montbrook,"Scanlon Training & Sales, Agent XII",,Scanlon Training & Sales,FL,10,"K.O.I.D. Co., Ltd.",20000,,,10.1," 1/8",04/10/2024,2,62,
617,O,2022,,B,C,03/05/2022,More Than Ready,She's My Gem,937,Into Mischief,"S B M Training and Sales, Agent V",,S B M Training and Sales,KY,2,OUT,,,04/10/2024,,,,,,
618,I,2022,,B,F,05/09/2022,Girvin,She's Not Lazy,938,Tiznow,Shooting Star Sales LLC,,Shooting Star Sales LLC,KY,G,"Jeffrey Bloom, Agent",155000,,,10.1," 1/8",04/10/2024,1,41,
619,O,2022,,CH,C,02/09/2022,Maclean's Music,She's On Top,939,Will Take Charge,"S G V Thoroughbreds LLC (Steven Venosa), Agent",,S G V Thoroughbreds LLC (Steven Venosa),LA,10,OUT,,,04/18/2024,,,,,,
620,I,2022,,B,F,03/25/2022,Catalina Cruiser,She's Our Angel,940,Fusaichi Pegasus,"AVP Training and Sales, Agent I",,AVP Training and Sales,FL,14,BOCA,20000,,,10.1," 1/8",04/10/2024,2,63,
621,I,2022,,B,F,05/13/2022,Cloud Computing,She's Roughin It,941,Forest Camp,"RiceHorse Stable (Brandon & Ali Rice), Agent VII",,RiceHorse Stable (Brandon & Ali Rice),KY,6,"Lauren Carlisle, Agent",80000,,,10.1," 1/8",04/10/2024,2,90,
622,I,2022,,B,C,02/20/2022,Not This Time,She's Trouble,942,Into Mischief,"Top Line Sales LLC, Agent XXXIII",,Top Line Sales LLC,KY,1,Carlo Vaccarezza,50000,Y,,9.4," 1/8",04/10/2024,1,21,
623,I,2022,,DB/BR,F,03/25/2022,More Than Ready,Shotgun's Star,943,Include,"Harris Training Center LLC, Agent IV",,Harris Training Center LLC,KY,13,RNA,-40000,,,10.0," 1/8",04/10/2024,2,106,
624,O,2022,,DB/BR,C,02/08/2022,Classic Empire,Siena Grace,944,More Than Ready,"Grassroots Training & Sales LLC, Agent",,Grassroots Training & Sales LLC,KY,J,OUT,,,04/16/2024,,,,,,
625,I,2022,,B,F,02/07/2022,Spun to Run,Sierra Aleone,945,Gemologist,"Grassroots Training & Sales LLC, Agent I",,Grassroots Training & Sales LLC,AZ,J,"Sallusto / Kimmel, Agents for Lawson Racing",120000,,,9.4," 1/8",04/10/2024,1,1,
626,I,2022,,B,C,01/08/2022,Instagrand,Siesta,946,Tiznow,"Omar Ramirez Bloodstock, Agent V",,Omar Ramirez Bloodstock,KY,17,"Mike Vesce, Agent",57000,,,10.0," 1/8",04/10/2024,1,43,
627,O,2022,,B,C,05/11/2022,World of Trouble,Silent Fright,947,Yes It's True,"Ocala Stud, Agent",,Ocala Stud,NY,4,OUT,,,04/18/2024,,,,,,
628,I,2022,,CH,F,04/19/2022,Vekoma,Silken Lily,948,Grand Slam,"Julie Davies LLC, Agent V",,Julie Davies LLC,NY,7,William Grainger,50000,Y,,10.0," 1/8",04/10/2024,1,15,
629,I,2022,,B,C,04/29/2022,Maclean's Music,Silly Sister,949,Broken Vow,"First Call, Agent II",,First Call,NY,15,"McMahon and Hill Bloodstock, Agent",170000,,,10.0," 1/8",04/10/2024,2,93,
630,I,2022,,B,C,02/20/2022,Vino Rosso,Silver Bean,950,Silver Deputy,"de Meric Sales, Agent XXXVII",,de Meric Sales,KY,12,"Nabil Erian, Agent",50000,,,10.1," 1/8",04/10/2024,3,122,
631,I,2022,,DB/BR,F,03/24/2022,Mendelssohn,Silver Fern,951,Bernardini,"Wavertree Stables, Inc. (Ciaran Dunne), Agent XXIII",,Wavertree Stables,KY,5,"Seth Morris, Agent for Hit The Bid Racing",110000,,,10.1," 1/8",04/10/2024,2,71,
632,O,2022,,GR/RO,C,03/18/2022,Maclean's Music,Silver Malibu,952,Malibu Moon,"de Meric Sales, Agent XLI",,de Meric Sales,FL,12,OUT,,,04/05/2024,,,,,,
633,I,2022,,CH,C,03/29/2022,Thousand Words,Silver Shimmer,953,Tale of the Cat,"Tom McCrocklin, Agent XV",,Tom McCrocklin,KY,18,Spendthrift Farm LLC,300000,,,21.0," 1/8",04/10/2024,2,73,
634,I,2022,,GR/RO,C,02/14/2022,Blame,Silviculture,954,Forestry,"Navas Equine, Agent",,Navas Equine,KY,15,C J Stables LLC,110000,,,10.0," 1/8",04/10/2024,1,40,
635,I,2022,,CH,C,04/19/2022,Justify,Sing Softly,955,Hennessy,Winner Circle Racing Stable Corp.,,Winner Circle Racing Stable Corp.,KY,15,RNA,-575000,,,10.0," 1/8",04/10/2024,1,46,
636,I,2022,,B,F,03/31/2022,Speightstown,Sister in Arms,956,Colonel John,"Hidden Brook, Agent VIII",,Hidden Brook,KY,6,RNA,-130000,,,10.2," 1/8",04/10/2024,2,101,
637,I,2022,,DB/BR,F,05/01/2022,Omaha Beach,Sister Margaret,957,Pulpit,"Wavertree Stables, Inc. (Ciaran Dunne), Agent VII",,Wavertree Stables,NY,5,"Justin Casse, Agent",350000,,,9.4," 1/8",04/10/2024,1,42,
638,I,2022,,CH,C,02/16/2022,Maclean's Music,Six Ornaments,958,Flatter,"Top Line Sales LLC, Agent XLI",,Top Line Sales LLC,KY,1,"Taproot Bloodstock, Agent",350000,,,9.4," 1/8",04/10/2024,1,37,
639,I,2022,,DB/BR,F,03/23/2022,Twirling Candy,Sixth Street,959,Tapit,"Grade One Investments LLC, Agent III",,Grade One Investments LLC,KY,14,Steven Dwoskin,27000,,,10.2," 1/8",04/10/2024,3,131,
640,O,2022,,GR/RO,C,01/21/2022,Maclean's Music,Sky Gesture,960,Tiznow,"Tom McCrocklin, Agent IX",,Tom McCrocklin,KY,18,OUT,,,04/08/2024,,,,,,
641,I,2022,,B,C,05/02/2022,Nyquist,Sky Girl,961,Sky Mesa,"Niall Brennan Stables, Agent XVI",,Niall Brennan Stables,KY,8,"Patrick Gallagher, Agent",165000,,,10.2," 1/8",04/10/2024,2,95,
642,I,2022,,B,C,03/20/2022,Street Sense,Skylar's Pass,962,The Factor,"Hartley / DeRenzo Thoroughbreds LLC, Agent I",,Hartley / DeRenzo Thoroughbreds LLC,KY,5,"Destin Heath, Agent for Rob Krattiger",200000,,,9.4," 1/8",04/10/2024,1,39,
643,I,2022,,GR/RO,F,03/01/2022,Bolt d'Oro,Sky o' Blue,963,Henny Hughes,"de Meric Sales, Agent XXIV",,de Meric Sales,KY,12,Woodford Thoroughbreds,450000,,,10.0," 1/8",04/10/2024,1,3,
644,I,2022,,B,C,05/10/2022,Global Campaign,Sky Wise,964,Smarty Jones,"Best A Luck Farm LLC, Agent II",,Best A Luck Farm LLC,NY,3,"Nabil Erian, Agent",50000,,,10.2," 1/8",04/10/2024,3,137,
645,O,2022,,CH,F,04/14/2022,Lord Nelson,Slam's Honor,965,Grand Slam,Fast Horses,,Fast Horses,KY,D,OUT,,,04/18/2024,,,,,,
646,I,2022,,B,C,03/11/2022,Authentic,Slew's Quality,966,Elusive Quality,"Best A Luck Farm LLC, Agent VIII",,Best A Luck Farm LLC,KY,3,Penny and Manfred Conrad,165000,Y,,10.0," 1/8",04/10/2024,1,10,
647,O,2022,,CH,F,03/10/2022,Authentic,Sliced Bread,967,Noonmark,"Top Line Sales LLC, Agent IX",,Top Line Sales LLC,KY,1,OUT,,,04/18/2024,,,,,,
648,O,2022,,DB/BR,F,02/12/2022,Uncle Mo,Slimey,968,Quality Road,"Wavertree Stables, Inc. (Ciaran Dunne), Agent XXX",,Wavertree Stables,KY,5,OUT,,,04/13/2024,,,,,,
649,I,2022,,B,F,05/13/2022,Game Winner,Sly Warrior,969,First Samurai,"Gene Recio, Agent VI",,Gene Recio,KY,17,Suliman Bloodstock,20000,,,10.3," 1/8",04/10/2024,3,124,
650,O,2022,,DB/BR,F,03/20/2022,Candy Ride (ARG),Smart Indeed,970,Smart Strike,"de Meric Sales, Agent III",,de Meric Sales,KY,12,OUT,,,04/11/2024,,,,,,
651,I,2022,,B,C,03/27/2022,Game Winner,Smooth Performer,971,Benchmark,"Eddie Woods, Agent VIII",,Eddie Woods,KY,11,"Alabdullatif Bloodstock, Agent for SBA Racing",25000,,,10.2," 1/8",04/10/2024,2,100,
652,I,2022,,B,F,03/15/2022,Vekoma,Snow,972,Quality Road,"de Meric Sales, Agent XXXVII",,de Meric Sales,NY,12,Mike Dini,47000,,,10.2," 1/8",04/10/2024,2,102,
653,O,2022,,GR/RO,C,03/29/2022,Street Boss,Snow Mesa,973,Sky Mesa,Longoria Training & Sales,,Longoria Training & Sales,KY,13,OUT,,,04/10/2024,,,,,,
654,O,2022,,DB/BR,F,05/16/2022,Honor A. P.,Softly Lit,974,Latent Heat,"Parrish Farms, Agent",,Parrish Farms,PA,14,OUT,,,04/01/2024,,,,,,
655,I,2022,,B,C,02/08/2022,Union Rags,So Jaded,975,Bernardini,"S B M Training and Sales, Agent III",,S B M Training and Sales,KY,2,"Alabdullatif Bloodstock, Agent for SBA Racing",85000,,,10.2," 1/8",04/10/2024,2,66,
656,O,2022,,B,F,02/12/2022,Caracaro,Solar Dance,976,Kingmambo,Navas Equine,,Navas Equine,FL,15,OUT,,,04/10/2024,,,,,,
657,I,2022,,DB/BR,C,02/23/2022,Girvin,Solar Solstice,977,Blame,"S G V Thoroughbreds LLC (Steven Venosa), Agent",,S G V Thoroughbreds LLC (Steven Venosa),FL,10,Jim Thares,40000,,,10.1," 1/8",04/10/2024,3,119,
658,I,2022,,B,C,03/23/2022,Gun Runner,Solar Surge,978,Bernardini,"de Meric Sales, Agent XLII",,de Meric Sales,NY,12,"Minhaj Stable, Carolyn Conley, Agent",250000,,,10.3," 1/8",04/10/2024,2,59,
659,O,2022,,B,C,03/02/2022,McKinzie,Sold It,979,The Factor,"Eddie Woods, Agent XXXIII",,Eddie Woods,KY,11,OUT,,,04/18/2024,,,,,,
660,O,2022,,B,C,02/13/2022,Curlin,Song of Bernadette,980,Bernardini,"de Meric Sales, Agent XLI",,de Meric Sales,FL,12,OUT,,,04/18/2024,,,,,,
661,O,2022,,GR/RO,C,04/01/2022,Vekoma,Song of Hours,981,Unbridled's Song,"Wavertree Stables, Inc. (Ciaran Dunne), Agent VIII",,Wavertree Stables,KY,5,OUT,,,04/10/2024,,,,,,
662,O,2022,Bold Hero,B,C,02/20/2022,Bolt d'Oro,Sophie's Destiny,982,Two Punch,"Azpurua Stables, Agent III",,Azpurua Stables,KY,11,OUT,,,04/18/2024,,,,,,
663,I,2022,,CH,F,02/20/2022,Nyquist,Soresca (IRE),983,Elusive City,"Julie Davies LLC, Agent XV",,Julie Davies LLC,KY,7,RNA,-95000,,,10.1," 1/8",04/10/2024,3,128,
664,I,2022,,GR/RO,F,01/29/2022,Daredevil,South Bank,984,Tapit,Grassroots Training & Sales LLC,,Grassroots Training & Sales LLC,KY,J,Triton Thoroughbreds LLC,37000,,,10.1," 1/8",04/10/2024,1,48,
665,I,2022,,CH,F,01/17/2022,Army Mule,South Coast,985,War Front,"Paul Sharp, Agent VI",,Paul Sharp,KY,C,"Hidden Brook, Agent",220000,,,10.0," 1/8",04/10/2024,1,19,
666,O,2022,,U,U,04/20/2022,zWithdrawn Page,zWithdrawn Page,1208,,Blank Pages,,Blank Pages,,0,OUT,,,03/20/2024,,,,,,
667,O,2022,,B,C,02/05/2022,Mitole,Southern Charmer,986,Dixie Union,"Six K's Training & Sales LLC, Agent XI",,Six K's Training & Sales LLC,NY,20,OUT,,,04/10/2024,,,,,,
668,I,2022,,DB/BR,F,05/07/2022,Tapiture,Southern Drifter,987,Dixie Union,"Top Line Sales LLC, Agent XLV",,Top Line Sales LLC,KY,1,Margaret Mayer,22000,,,10.2," 1/8",04/10/2024,2,74,
669,I,2022,,DB/BR,F,04/30/2022,Tiz the Law,Southern Silence,988,Dixie Union,"Halcyon Hammock Farm, Agent II",,Halcyon Hammock Farm,KY,2,RNA,-190000,,,10.0," 1/8",04/10/2024,3,117,
670,I,2022,,DB/BR,C,04/02/2022,Flatter,Southern Truth,989,Yes It's True,"Marcial Galan, Agent",,Marcial Galan,KY,20,Richie's World Stables LLC,15000,,,10.2," 1/8",04/10/2024,3,135,
671,O,2022,,B,C,04/14/2022,Violence,So You Know,990,Jump Start,"Wavertree Stables, Inc. (Ciaran Dunne), Agent XVI",,Wavertree Stables,NY,5,OUT,,,04/12/2024,,,,,,
672,O,2022,,B,F,03/23/2022,Practical Joke,Spanish Gold,991,Medaglia d'Oro,"Lucan Bloodstock (Karl Keegan), Agent X",,Lucan Bloodstock (Karl Keegan),KY,18,OUT,,,04/07/2024,,,,,,
673,I,2022,,GR/RO,C,02/11/2022,Vekoma,Spanish Point,992,Creative Cause,"S B M Training and Sales, Agent V",,S B M Training and Sales,KY,2,Chestnut Hill Stable LLC,22000,,,10.3," 1/8",04/10/2024,2,105,
674,I,2022,,B,C,01/21/2022,Omaha Beach,Sparkling Champagn,993,Malibu Moon,"Britton Peak, Agent",,Britton Peak,KY,19,"Jeff Mackor, Agent",220000,,,9.4," 1/8",04/14/2024,1,26,
675,O,2022,,DB/BR,C,04/25/2022,McKinzie,Speedy Bird,994,Birdstone,"S B M Training and Sales, Agent IV",,S B M Training and Sales,KY,2,OUT,,,04/18/2024,,,,,,
676,I,2022,,DB/BR,F,03/16/2022,Game Winner,Speightlass,995,Speightstown,"Randy Miles, Agent XIV",,Randy Miles,KY,19,Starship Stables,80000,,,10.1," 1/8",04/10/2024,2,67,
677,I,2022,,B,F,02/28/2022,Flatter,Splash Hit,996,Flower Alley,"Tradewinds Farm, Agent I",,Tradewinds Farm,KY,15,RNA,-45000,,,10.1," 1/8",04/10/2024,1,57,
678,O,2022,,CH,C,04/29/2022,Classic Empire,Spooky Tooth,997,Ghostzapper,Little Farm Equine LLC,,Little Farm Equine LLC,MD,15,OUT,,,04/15/2024,,,,,,
679,I,2022,,B,C,05/26/2022,Army Mule,Springside,998,Awesome Again,"Tom McCrocklin, Agent XXX",,Tom McCrocklin,KY,18,Randy Patterson - Sam Vogel - Joe Morgan,135000,,,21.0," 1/4",04/10/2024,1,32,
680,O,2022,Spuns Copper Penny,CH,F,02/10/2022,Noble Bird,Spun Copper,999,Hard Spun,Ortega Stables LLC,,Ortega Stables LLC,FL,E,OUT,,,04/09/2024,,,,,,
681,I,2022,,DB/BR,F,04/30/2022,Authentic,S S Pinafore,1000,Street Sense,"Wavertree Stables, Inc. (Ciaran Dunne), Agent XXXIII",,Wavertree Stables,KY,5,Machmer Hall,50000,Y,,10.1," 1/8",04/10/2024,1,51,
682,I,2022,,B,F,01/30/2022,Good Magic,Stargirl,1001,Medaglia d'Oro,"Eddie Woods, Agent XXXIII",,Eddie Woods,KY,11,Osbaldo Jauregui,100000,Y,,10.1," 1/8",04/10/2024,2,58,
683,I,2022,,B,C,05/17/2022,Flameaway,Star of the Nile,1002,Pioneerof the Nile,"Top Line Sales LLC, Agent XL",,Top Line Sales LLC,KY,1,Ervin Rodriguez,45000,,,10.1," 1/8",04/10/2024,3,115,
684,O,2022,,DB/BR,C,03/06/2022,Tom's d'Etat,Starry Rose,1003,Maclean's Music,"Lucan Bloodstock (Karl Keegan), Agent I",,Lucan Bloodstock (Karl Keegan),NY,18,OUT,,,04/11/2024,,,,,,
685,I,2022,,B,C,02/15/2022,Speightster,Stars Collide,1004,Strong Contender,"Cuatro Caminos, Agent",,Cuatro Caminos,KY,E,RNA,-22000,,,10.2," 1/8",04/10/2024,2,75,
686,O,2022,,B,F,01/21/2022,Global Campaign,Starship Awesome,1005,Awesome Again,"Woodside Ranch, Agent I",,Woodside Ranch,KY,6,OUT,,,04/08/2024,,,,,,
687,I,2022,,B,F,03/09/2022,Daredevil,Starship Gussie,1006,High Cotton,"Halcyon Hammock Farm, Agent II",,Halcyon Hammock Farm,FL,2,Flatbird Stable,100000,,,9.4," 1/8",04/10/2024,1,33,
688,I,2022,,B,C,02/11/2022,Catalina Cruiser,Stasha Minasha,1007,City Zip,"Majestic, Agent XVI",,Majestic,KY,13,"K.O.I.D. Co., Ltd.",42000,,,10.1," 1/8",04/10/2024,2,76,
689,I,2022,,B,C,05/22/2022,Complexity,Stay Composed,1008,Bernstein,"Grassroots Training & Sales LLC, Agent I",,Grassroots Training & Sales LLC,NY,J,Clear Stars Stable,115000,,,10.0," 1/8",04/10/2024,3,118,
690,O,2022,,CH,F,03/08/2022,Not This Time,Stetson Gold,1009,Uncle Mo,"Grade One Investments LLC, Agent I",,Grade One Investments LLC,KY,14,OUT,,,04/11/2024,,,,,,
691,I,2022,,B,C,03/07/2022,Vekoma,Sticks Wondergirl,1010,Stevie Wonderboy,"Grassroots Training & Sales LLC, Agent I",,Grassroots Training & Sales LLC,KY,J,Harmash Racing,90000,,,10.2," 1/8",04/12/2024,3,131,
692,I,2022,,CH,C,05/17/2022,Vekoma,Stifled Heiress,1011,Munnings,"Wavertree Stables, Inc. (Ciaran Dunne), Agent",,Wavertree Stables,FL,5,Jim Thares,47000,,,10.2," 1/8",04/12/2024,2,80,
693,I,2022,,B,F,01/09/2022,Bolt d'Oro,Still a Funny Girl,1012,Distorted Humor,"Thorostock LLC, Agent I",,Thorostock LLC,KY,H,Madaket Stables,100000,Y,,10.3," 1/8",04/12/2024,1,23,
694,I,2022,,DB/BR,C,04/27/2022,Solomini,St. Malo's Gate,1013,Dynaformer,"Britton Peak, Agent",,Britton Peak,NY,19,Bloodstock Advisors.com / Agent J. Taisey,85000,,,10.2," 1/8",04/12/2024,2,65,
695,I,2022,,CH,F,04/25/2022,Good Magic,Stolen Star,1014,Cat Thief,"Randy Bradshaw, Agent IV",,Randy Bradshaw,NY,3,RNA,-240000,,,10.1," 1/8",04/12/2024,1,14,
696,O,2022,,B,C,02/28/2022,Maximus Mischief,Stonecoldfox,1015,Bustin Stones,"Caliente Thoroughbreds, Agent",,Caliente Thoroughbreds,KY,E,OUT,,,04/11/2024,,,,,,
697,O,2022,,DB/BR,F,05/05/2022,Classic Empire,Stop the Wedding,1016,Congrats,"Grade One Investments LLC, Agent I",,Grade One Investments LLC,KY,14,OUT,,,04/13/2024,,,,,,
